Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,1,2738366.6301269997,304694.81789053004
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,2,2783657.576416,42878.22252589831
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,4,2861775.6218259996,341163.4912713974
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,6,2909004.7089839997,227020.2350916583
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,8,2959995.578125,167826.8032459082
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,10,3021513.9152835,49570.413861806555
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,12,3054561.3220215,40982.031496593554
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,14,3077174.3999025,245866.19449230502
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,16,3103238.0808105003,218851.3510284692
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,18,3116878.272705,110298.17894513851
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,20,3142686.4719235003,62796.04266560483
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,22,3185310.548584,153168.24162661977
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,24,3218830.718994,97727.81838413325
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,26,3237252.659668,46022.404567243815
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,28,3262043.486084,45976.462103760154
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,30,3281696.0646975003,50556.48566670185
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,32,3305912.0258790003,55148.18801770144
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,1,790418.5205079999,72686.7066528571
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,2,800164.265625,19455.578242511463
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,4,814908.2517085001,79944.53577354772
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,6,844175.8225095,119183.20776072708
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,8,863236.5510255,26953.268163755736
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,10,884074.13916,55847.333336962234
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,12,889643.210205,84580.35155880728
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,14,886983.0048829999,96402.79125000774
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,16,885422.6691894999,102056.75145412573
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,18,892801.062256,132210.6498957111
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,20,907556.8222655,67425.27710220942
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,22,911570.466797,53088.25245006199
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,24,918773.947754,28936.402503151898
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,26,930922.7119140001,51122.87038417456
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,28,944191.0056155,60069.13298119716
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,30,958659.2402345,108652.07335194112
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,32,977376.0964355,104934.95996120831
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,1,239802.52905250003,46424.00043282049
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,2,174868.8757325,28114.353264346864
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,4,127078.305664,20799.465975622083
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,6,94988.0390625,13646.303371756267
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,8,102340.5634765,12869.991980053283
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,10,93727.189209,13437.800695219077
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,12,97135.134766,14088.465151915974
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,14,85623.0859375,12131.681079993135
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,16,99260.371094,12416.905906354837
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,18,93601.55029300001,21604.29513792686
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,20,93722.2717285,409073.7172841134
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,22,93918.953125,14474.166637496479
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,24,107749.416992,11599.611625301714
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,26,111578.73144549999,10558.44972740815
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,28,122644.4802245,14461.101882802424
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,30,130426.909912,153949.2484051798
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,32,153376.63598649998,72599.61565505962
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,1,1096282.2492675,120809.39653686878
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,2,1004464.22168,40683.51810309958
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,4,938582.779785,157309.96834771757
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,6,905807.8244625,69393.25682568463
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,8,900288.4995115001,97820.61158125853
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,10,903221.9147945,160069.1858494884
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,12,882358.3217775,111808.71797929176
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,14,876437.9594725,106995.7366011761
