Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,1,1.0,0.19646689583534147
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,2,1.3290158661477216,0.1643220153710465
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,4,2.1007057057137852,0.25991049156109763
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,6,2.6436571165208904,0.339266682286858
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,8,2.847364004702466,0.34509856356047464
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,10,3.3322686418127927,0.42021664676906045
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,12,3.3818179651970546,0.4354735333805472
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,14,3.3125676707994463,0.6039939669010076
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,16,3.1081582034704778,0.3986304461497087
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,18,3.077456199357184,0.5040282906224972
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,20,3.1865138309998104,0.46654966580379836
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,22,3.0979997441036153,0.5031502476244899
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,24,2.942836615135155,0.47867365870311035
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,26,2.8763882733630446,0.32337570211046657
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,28,2.7591441169707496,0.24771396743211788
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,30,2.5951644717578928,0.24730026323209603
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,32,2.2271419174045075,0.18662590302220924
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,1,1.00000745881887,0.20303626702737784
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,2,0.808163489094664,0.12022604657799967
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,4,0.8745389596565567,0.18477178302617436
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,6,1.080423136122739,0.1569503961779077
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,8,1.2659087995354943,0.14514270527989157
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,10,1.4856925149488904,0.20442123723129915
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,12,1.3596982173145762,0.19760394719322374
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,14,1.529429694464823,0.3103640597300269
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,16,1.6570835874726697,0.2671645345076458
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,18,1.490515269584221,0.2921948520379522
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,20,1.559670584179188,0.3127805416403742
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,22,1.5272956399369755,0.36912150262567356
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,24,1.5426684928035854,0.353461935670411
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,26,1.5253016492277327,0.2810268509895269
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,28,1.4368541885553026,0.29207961251172126
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,30,1.3532044686691933,0.30583112731536816
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,32,1.317020493574635,0.3212305210926125
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,1,1.0,0.09930565782106138
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,2,1.086664463895422,0.053119691052883736
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,4,1.1813746476838796,0.04822940128705257
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,6,1.1991469751476609,0.05109303852523976
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,8,1.233470504239891,0.07053520349552424
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,10,1.220812473292676,0.06296399950117942
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,12,1.2651769685162106,0.07462606577845644
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,14,1.2277396529344766,0.11631770945612963
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,16,1.2466153400391993,0.0860085323698386
"('Erdos-Renyi random p=0.002000', 50000)",Kruskal,18,1.2388749986194367,0.10142833062927215
