Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,1,241898.039185,195949.50151811118
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,2,178050.485352,41399.77919578215
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,4,104741.202515,19484.002315478392
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,6,85838.455933,14681.882867596185
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,8,74682.205933,10253.971831365436
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,10,69156.436523,7747.380810462851
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,12,67411.203613,11238.099107679525
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,14,65760.462402,6623.279582221929
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,16,69545.346924,6762.302492219954
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,18,66168.81225599999,12464.290530094973
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,20,70790.312866,9343.96086775065
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,22,73670.05542,10390.27912086126
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,24,75506.17651399999,9601.262378831341
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,26,72386.409424,8349.70613153516
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,28,77912.022583,11547.847305553089
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,30,81365.256836,13368.699185600191
"('Erdos-Renyi random p=0.002000', 50000)",Filter Kruskal,32,100074.761963,7837.0017869271605
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,1,795222.346924,356540.7425350962
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,2,984019.4865724999,152569.9103859853
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,4,909342.722168,185551.27625389205
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,6,736041.189697,83239.45007501534
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,8,628188.9318845,68465.51776485324
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,10,535280.828125,78371.39916535153
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,12,584929.8811035,74043.84149912982
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,14,520153.109375,111762.8261800279
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,16,480628.5009765,80279.79433577952
"('Erdos-Renyi random p=0.002000', 50000)",Filter Sollin,18,533576.3203125,86541.77077264582
