Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,1,1.0003701183507276,0.029758860692354054
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,2,1.0168369525835477,0.025038117480279426
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,4,1.033912300569248,0.015361491614245135
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,8,1.0221027999200072,0.01919057121743496
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,16,1.031041769070908,0.007165657640340328
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,32,1.025115257625138,0.01411194684804083
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,1,1.0017034195965362,0.053657792585296446
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,2,1.146700717739618,0.057947839504352824
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,4,1.1873113040434624,0.006458151012945112
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,8,1.1249468622184824,0.03305808118678051
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,16,1.1896762530747895,0.0006347245296549867
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,32,1.1881374007773298,0.013361809574368666
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,1,1.0021838053330256,0.16901641069350182
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,2,1.8089032318537437,0.2509694081442771
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,4,2.518659593238763,0.2739448415838149
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,8,2.9836617229060938,0.5046361235975648
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,16,2.695620828511041,0.3528161562121061
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,32,2.142682392428553,0.3070786076891435
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,1,1.0000860054991338,0.06832161778884645
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,2,0.8028884416046156,0.525973757035806
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,4,0.3968166249778592,0.08558991595446064
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,8,0.30934939852935894,0.32310791207592443
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,16,0.4605157533622385,0.4525520649923152
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,32,0.31805567012639624,0.16533886470721867
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,1,1.0000261960105759,0.012093205977253585
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,2,1.2247194506240069,0.03435697083975447
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,4,1.3489850064014468,0.016852707733808363
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,8,1.3187566886881663,0.044411325195991766
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,16,1.4392915280123928,0.015212939195015773
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,32,1.3933693059991226,0.20069577739552244
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,1,1.0000153545487143,0.021817042009925347
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,2,1.294353342895582,0.4808554335216885
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,4,0.3663717239791342,0.4929049360008934
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,8,0.42736768586753804,0.5766842909836611
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,16,0.34739588839039065,0.3982944389171675
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,32,0.4322927509872961,0.6212209664115708
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,1,1.0000012642613831,0.20893876694997413
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,2,0.9745277568516605,0.11828774584998888
