Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,1,2710005.884033,23336.849152132316
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,2,2754118.9085695,92303.14231604134
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,4,2688801.3934325,4924.734774366994
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,8,2738087.5172114996,55932.81776358157
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,16,2703517.9825440003,5394.829237245666
"('Erdos-Renyi random p=0.000500', 100000)",Boost Kruskal,32,2735127.5872805,52378.27829108177
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,1,919550.312622,58258.9049066578
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,2,814297.050049,64887.254301264504
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,4,769564.3826905,1338.2643211427037
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,8,800819.7504884999,42118.05583383732
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,16,770052.352417,309.506818238559
"('Erdos-Renyi random p=0.000500', 100000)",Boost Prim,32,781880.7607420001,15242.10858495016
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,1,329893.993225,60223.50264835461
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,2,182382.86792,31466.8476797661
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,4,130981.61853049998,15450.287606700043
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,8,110619.1482545,18696.520120432247
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,16,122767.156311,16468.951309832588
"('Erdos-Renyi random p=0.000500', 100000)",Filter Kruskal,32,153964.21325699997,26923.296312948634
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,1,1783778.4710694999,122302.23539735735
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,2,2640852.3931885,1676326.772385644
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,4,4509695.138672,1346376.074324101
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,8,5766716.7657469995,1613000.2882238864
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,16,3887756.4348145,2203164.7403772683
"('Erdos-Renyi random p=0.000500', 100000)",Filter Sollin,32,5610524.150513,2403882.45333469
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,1,1246403.171997,16177.622768380992
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,2,1049623.003418,35363.29953453377
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,4,934338.6291499999,9160.779308508849
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,8,948982.7520755001,7577.990695419994
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,16,865596.9266354999,5303.130814567371
"('Erdos-Renyi random p=0.000500', 100000)",Sequential Kruskal,32,898593.6018065,28625.326663583677
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,1,1750787.461548,39691.93918468137
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,2,1361130.16333,1333700.5741070958
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,4,4080340.40625,2245944.8800703194
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,8,4040826.4692385,1796607.4150566983
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,16,5065484.6397705,701048.7234409665
"('Erdos-Renyi random p=0.000500', 100000)",parallel sollin FAL,32,4069641.0166015,2130495.958437519
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,1,5946103.614258001,221743.80036193537
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,2,5877744.077759,145696.21982853097
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,4,5883986.005127,142622.60498162836
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,8,5899388.09082,77194.87630482769
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,16,5795699.014282001,16511.075405625532
"('Erdos-Renyi random p=0.100000', 10000)",Boost Kruskal,32,5905821.669555999,103813.91677904676
"('Erdos-Renyi random p=0.100000', 10000)",Boost Prim,1,1500446.3732915,60186.06522495295
"('Erdos-Renyi random p=0.100000', 10000)",Boost Prim,2,1373821.753296,144775.90343457952
"('Erdos-Renyi random p=0.100000', 10000)",Boost Prim,4,1283201.6276854998,31432.26126357357
"('Erdos-Renyi random p=0.100000', 10000)",Boost Prim,8,1306175.8388675,61472.53518281913
"('Erdos-Renyi random p=0.100000', 10000)",Boost Prim,16,1266431.0179444999,7036.169779267823
"('Erdos-Renyi random p=0.100000', 10000)",Boost Prim,32,1302416.074097,55182.75320952677
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,1,652963.531799,264862.17877517245
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,2,337292.5684815,47579.59132513987
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,4,210202.623169,135826.52648079206
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,8,182579.203125,97701.02126856682
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,16,109373.29455600001,35106.22226921155
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,32,145956.6004635,53263.537727152565
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,1,565831.532837,120638.78721078823
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,2,369209.7202145,2075518.0987577727
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,4,236051.7318115,1981653.9507398037
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,8,3671160.1972654997,2014248.1979074948
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,16,3650175.9559325,1433329.8191265408
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,32,3144989.5385745,1884486.4293918659
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,1,2227819.387573,171010.1958194889
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,2,2058065.6840820003,181885.53488510498
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,4,1822519.70166,27939.946498388843
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,8,2238655.8038330004,136469.4285806064
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,16,1601713.696045,28858.69745126447
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,32,1859000.5238035,465896.273651473
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,1,2211890.6232910003,286952.186201615
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,2,1642478.539673,1873672.8142577219
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,4,3349007.477173,1837534.983793978
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,8,3208490.0854495,1641898.7512687056
